url,name,logo_url,established,market_share,growth,total_generics,headquarter,contact_details,fax,description,generics,brands
https://medex.com.bd/companies/2/aci-limited,ACI Limited,https://medex.com.bd/storage/images/company_logos/SSukJqe0TKV4AEAgYF1QeDcXuo5DlL.png,1992,3.50%,5.05%,424,"ACI Centre, 245, Tejgaon Industrial Area, Dhaka-1208",(+8802) 8878603,"(+8802) 8878619, 8878626",N/A,408,814
https://medex.com.bd/companies/3/acme-laboratories-ltd,ACME Laboratories Ltd.,https://medex.com.bd/storage/images/company_logos/nrFePdEnOORlkBjbp2eGWqk2G8wWNO.png,1954,3.70%,15.61%,542,"ACME Group, Court de la ACME, 1/4, Kallayanpur, Mirpur Road, Dhaka 1207, Bangladesh.","+880-2-9004194-6, +880-2-9005620","+880-2-9016872, +880-2-9032475, +880-2-9016515",N/A,445,746
https://medex.com.bd/companies/103/ad-din-pharmaceuticals-ltd/brands,Ad-din Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,83,127
https://medex.com.bd/companies/114/aexim-pharmaceuticals-ltd/brands,Aexim Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,33,42
https://medex.com.bd/companies/292/al-madina-pharmaceuticals-ltd/brands,Al-Madina Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,54,85
https://medex.com.bd/companies/108/albion-laboratories-limited/brands,Albion Laboratories Limited,N/A,,,,,,,,N/A,117,181
https://medex.com.bd/companies/557/albion-specialized-pharma-limited/brands,Albion Specialized Pharma Limited,N/A,,,,,,,,N/A,5,7
https://medex.com.bd/companies/4/alco-pharma-ltd/brands,Alco Pharma Ltd.,N/A,,,,,,,,N/A,109,177
https://medex.com.bd/companies/304/alien-pharma/brands,Alien Pharma,N/A,,,,,,,,N/A,4,4
https://medex.com.bd/companies/245/alkad-laboratories/brands,Alkad Laboratories,N/A,,,,,,,,N/A,14,15
https://medex.com.bd/companies/115/allied-pharmaceuticals-ltd/brands,Allied Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,6,9
https://medex.com.bd/companies/5/ambee-pharmaceuticals-ltd/brands,Ambee Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,73,121
https://medex.com.bd/companies/6/amico-laboratories-ltd/brands,Amico Laboratories Ltd.,N/A,,,,,,,,N/A,86,121
https://medex.com.bd/companies/7/amulet-pharmaceuticals-ltd/brands,Amulet Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,34,50
https://medex.com.bd/companies/128/apc-pharma-ltd/brands,APC Pharma Ltd.,N/A,,,,,,,,N/A,27,41
https://medex.com.bd/companies/8/apex-pharma-ltd/brands,Apex Pharma Ltd.,N/A,,,,,,,,N/A,100,149
https://medex.com.bd/companies/9/apollo-pharmaceutical-ltd/brands,Apollo Pharmaceutical Ltd.,N/A,,,,,,,,N/A,36,47
https://medex.com.bd/companies/258/aqvida-bangladesh/brands,AqVida bangladesh,N/A,,,,,,,,N/A,6,8
https://medex.com.bd/companies/289/arges-life-science-limited/brands,Arges Life Science Limited,N/A,,,,,,,,N/A,18,24
https://medex.com.bd/companies/10/aristopharma-ltd,Aristopharma Ltd.,https://medex.com.bd/storage/images/company_logos/Se0laSDXU2PlTjr5Y9kSeW3PPeptno.png,1986,4.27%,23.75%,352,"239, Tejgaon Industrial Area, Tejgaon, Dhaka-1208",880-2-9351691-3,880-2-8317005,N/A,352,578
https://medex.com.bd/companies/390/army-pharma-limited/brands,Army Pharma Limited,N/A,,,,,,,,N/A,17,20
https://medex.com.bd/companies/81/asiatic-laboratories-ltd/brands,Asiatic Laboratories Ltd.,N/A,,,,,,,,N/A,117,209
https://medex.com.bd/companies/11/astra-biopharmaceuticals-ltd/brands,Astra Biopharmaceuticals Ltd.,N/A,,,,,,,,N/A,57,90
https://medex.com.bd/companies/260/avarox-pharmaceuticals-ltd/brands,Avarox Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,19,21
https://medex.com.bd/companies/246/aztec-pharmaceuticals-ltd/brands,Aztec Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,13,15
https://medex.com.bd/companies/13/beacon-pharmaceuticals-plc,Beacon Pharmaceuticals PLC,https://medex.com.bd/storage/images/company_logos/9H3QWW3VeWsuXXLfsU7ZiVC0rsW3BZ.png,2006,1.47%,28.13%,332,"9/B/2,Toyenbee Circular Road
Motijheel, Dhaka-1223",880-2-57165371,,N/A,332,572
https://medex.com.bd/companies/415/beauty-formulas/brands,Beauty Formulas,N/A,,,,,,,,N/A,1,1
https://medex.com.bd/companies/110/belsen-pharmaceuticals-ltd/brands,Belsen Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,19,24
https://medex.com.bd/companies/169/bengal-drugs-ltd/brands,Bengal drugs Ltd.,N/A,,,,,,,,N/A,15,21
https://medex.com.bd/companies/107/benham-pharmaceuticals-ltd/brands,Benham Pharmaceuticals Ltd.,N/A,,,,,,,,N/A,95,146
