name,url,generics,brands
ACI Limited,https://medex.com.bd/companies/2/aci-limited,408,814
ACME Laboratories Ltd.,https://medex.com.bd/companies/3/acme-laboratories-ltd,445,746
Ad-din Pharmaceuticals Ltd.,https://medex.com.bd/companies/103/ad-din-pharmaceuticals-ltd/brands,83,127
Aexim Pharmaceuticals Ltd.,https://medex.com.bd/companies/114/aexim-pharmaceuticals-ltd/brands,33,42
Al-Madina Pharmaceuticals Ltd.,https://medex.com.bd/companies/292/al-madina-pharmaceuticals-ltd/brands,54,85
Albion Laboratories Limited,https://medex.com.bd/companies/108/albion-laboratories-limited/brands,117,181
Albion Specialized Pharma Limited,https://medex.com.bd/companies/557/albion-specialized-pharma-limited/brands,5,7
Alco Pharma Ltd.,https://medex.com.bd/companies/4/alco-pharma-ltd/brands,109,177
Alien Pharma,https://medex.com.bd/companies/304/alien-pharma/brands,4,4
Alkad Laboratories,https://medex.com.bd/companies/245/alkad-laboratories/brands,14,15
Allied Pharmaceuticals Ltd.,https://medex.com.bd/companies/115/allied-pharmaceuticals-ltd/brands,6,9
Ambee Pharmaceuticals Ltd.,https://medex.com.bd/companies/5/ambee-pharmaceuticals-ltd/brands,73,121
Amico Laboratories Ltd.,https://medex.com.bd/companies/6/amico-laboratories-ltd/brands,86,121
Amulet Pharmaceuticals Ltd.,https://medex.com.bd/companies/7/amulet-pharmaceuticals-ltd/brands,34,50
APC Pharma Ltd.,https://medex.com.bd/companies/128/apc-pharma-ltd/brands,27,41
Apex Pharma Ltd.,https://medex.com.bd/companies/8/apex-pharma-ltd/brands,100,149
Apollo Pharmaceutical Ltd.,https://medex.com.bd/companies/9/apollo-pharmaceutical-ltd/brands,36,47
AqVida bangladesh,https://medex.com.bd/companies/258/aqvida-bangladesh/brands,6,8
Arges Life Science Limited,https://medex.com.bd/companies/289/arges-life-science-limited/brands,18,24
Aristopharma Ltd.,https://medex.com.bd/companies/10/aristopharma-ltd,352,578
Army Pharma Limited,https://medex.com.bd/companies/390/army-pharma-limited/brands,17,20
Asiatic Laboratories Ltd.,https://medex.com.bd/companies/81/asiatic-laboratories-ltd/brands,117,209
Astra Biopharmaceuticals Ltd.,https://medex.com.bd/companies/11/astra-biopharmaceuticals-ltd/brands,57,90
Avarox Pharmaceuticals Ltd.,https://medex.com.bd/companies/260/avarox-pharmaceuticals-ltd/brands,19,21
Aztec Pharmaceuticals Ltd.,https://medex.com.bd/companies/246/aztec-pharmaceuticals-ltd/brands,13,15
Beacon Pharmaceuticals PLC,https://medex.com.bd/companies/13/beacon-pharmaceuticals-plc,332,572
Beauty Formulas,https://medex.com.bd/companies/415/beauty-formulas/brands,1,1
Belsen Pharmaceuticals Ltd.,https://medex.com.bd/companies/110/belsen-pharmaceuticals-ltd/brands,19,24
Bengal drugs Ltd.,https://medex.com.bd/companies/169/bengal-drugs-ltd/brands,15,21
Benham Pharmaceuticals Ltd.,https://medex.com.bd/companies/107/benham-pharmaceuticals-ltd/brands,95,146
Beximco Pharmaceuticals Ltd.,https://medex.com.bd/companies/14/beximco-pharmaceuticals-ltd,403,749
Bexter Pharmaceuticals,https://medex.com.bd/companies/418/bexter-pharmaceuticals/brands,15,16
BIO Care pharmaceutical,https://medex.com.bd/companies/563/bio-care-pharmaceutical/brands,1,1
Biocell Ayurvedic Limited,https://medex.com.bd/companies/547/biocell-ayurvedic-limited/brands,16,16
Biogen Pharmaceuticals Ltd.,https://medex.com.bd/companies/102/biogen-pharmaceuticals-ltd/brands,52,60
Biopharma Limited,https://medex.com.bd/companies/15/biopharma-limited,194,334
BOTS Pvt. Limited,https://medex.com.bd/companies/191/bots-pvt-limited/brands,12,14
Bright HealthCare,https://medex.com.bd/companies/386/bright-healthcare/brands,1,1
Bristol Pharmaceuticals Ltd.,https://medex.com.bd/companies/16/bristol-pharmaceuticals-ltd/brands,58,82
Bronson  Laboratories (BD) Ltd.,https://medex.com.bd/companies/336/bronson-laboratories-bd-ltd/brands,5,5
C2C Pharma Ltd.,https://medex.com.bd/companies/417/c2c-pharma-ltd/brands,25,33
Centeon Pharma Ltd.,https://medex.com.bd/companies/273/centeon-pharma-ltd/brands,18,24
Central Pharmaceuticals Ltd.,https://medex.com.bd/companies/171/central-pharmaceuticals-ltd/brands,44,54
Chemist Laboratories  Ltd.,https://medex.com.bd/companies/18/chemist-laboratories-ltd/brands,111,143
City Overseas Ltd.,https://medex.com.bd/companies/174/city-overseas-ltd/brands,22,26
Concord Pharmaceuticals Ltd.,https://medex.com.bd/companies/19/concord-pharmaceuticals-ltd/brands,83,137
